Timestamp	URL	Status Code
2014-04-25T14:18:30.208864	http://www.presidency.ucsb.edu/ws/index.php?pid=101962	200
2014-04-25T14:18:30.315319	http://www.presidency.ucsb.edu/ws/index.php?pid=78283	200
2014-04-25T14:18:30.420116	http://www.presidency.ucsb.edu/ws/index.php?pid=29613	200
2014-04-25T14:18:30.540669	http://www.presidency.ucsb.edu/ws/index.php?pid=29612	200
2014-04-25T14:18:30.626098	http://www.presidency.ucsb.edu/ws/index.php?pid=29611	200
2014-04-25T14:18:30.693124	http://www.presidency.ucsb.edu/ws/index.php?pid=29610	200
2014-04-25T14:18:30.752645	http://www.presidency.ucsb.edu/ws/index.php?pid=29609	200
2014-04-25T14:18:30.890584	http://www.presidency.ucsb.edu/ws/index.php?pid=29608	200
2014-04-25T14:18:31.025243	http://www.presidency.ucsb.edu/ws/index.php?pid=29607	200
2014-04-25T14:18:31.132007	http://www.presidency.ucsb.edu/ws/index.php?pid=29606	200
